tmdb_id,title,release_date,genres,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,tagline,overview,cast_names,cast_ids,release_year
9718,Talladega Nights: The Ballad of Ricky Bobby,2006-08-04,Comedy,72500000,163000000,108,3.9661,6.372,1868,en,The story of a man who could only count to #1.,"The fastest man on four wheels, Ricky Bobby, is one of the greatest drivers in NASCAR history. A big, hairy American winning machine, Ricky has everything a dimwitted daredevil could want, a luxurious mansion, a smokin' hot wife, and all the fast food he can eat. But Ricky's turbo-charged lifestyle hits an unexpected speed bump when he's bested by flamboyant Euro-idiot Jean Girard and reduced to a fear-ridden wreck.",Will Ferrell|John C. Reilly|Sacha Baron Cohen|Gary Cole|Leslie Bibb,23659|4764|6730|21163|57451,2006
337401,Mulan,2020-09-04,Adventure|Fantasy|Action,200000000,69965374,115,7.5092,6.832,7009,en,Loyal. Brave. True.,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",Liu Yifei|Donnie Yen|Gong Li|Jet Li|Jason Scott Lee,122503|1341|643|1336|58319,2020
9722,Bewitched,2005-06-21,Comedy|Fantasy|Romance,85000000,131426169,102,2.9889,5.084,1636,en,Be warned. Be ready.,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic show ""Bewitched"".",Nicole Kidman|Will Ferrell|Shirley MacLaine|Michael Caine|Jason Schwartzman,2227|23659|4090|3895|17881,2005
75258,Secret of the Wings,2012-08-17,Animation|Family|Fantasy|Adventure,0,0,75,3.6595,7.2,1349,en,Two Worlds. One Magical Secret.,Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.,Mae Whitman|Lucy Hale|Timothy Dalton|Jeff Bennett|Lucy Liu,52404|205307|10669|34982|140,2012
337404,Cruella,2021-05-26,Comedy|Crime|Adventure,200000000,233503234,134,22.6903,7.973,9984,en,Hello cruel world.,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",Emma Stone|Emma Thompson|Joel Fry|Paul Walter Hauser|John McCrea,54693|7056|54811|1294982|1819918,2021
370172,No Time to Die,2021-09-29,Action|Thriller|Adventure,250000000,774153024,163,10.5217,7.341,7014,en,The mission that changes everything begins…,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Daniel Craig|Léa Seydoux|Rami Malek|Lashana Lynch|Ralph Fiennes,8784|121529|17838|1360281|5469,2021
9726,A Good Year,2006-09-09,Comedy|Drama|Romance,35000000,42064105,117,3.0537,6.676,1615,en,Everything matures... eventually.,"Failed London banker Max Skinner inherits his uncle's vineyard in Provence, where he spent many childhood holidays. Upon his arrival, he meets a woman from California who tells Max she is his long-lost cousin and that the property is hers.",Russell Crowe|Albert Finney|Marion Cotillard|Abbie Cornish|Didier Bourdon,934|3926|8293|37260|59031,2006
632322,All My Life,2020-10-23,Romance|Drama,25000000,2000000,93,1.7956,7.771,511,en,Based on a true love story.,"It was a chance meeting started by one of Sol’s friends trying to chat up Jennifer. However, in the end, it was those two who hit it off. Sol enjoyed Jen’s smile, her effort, and how silly she could be. Jen enjoyed Sol’s cooking, his athleticism, and that he would join her in fun moments. As you can imagine, love bloomed, and things got serious. Jen’s investment in Sol led to her pushing him to follow his dreams and even move in to save money. Sol’s investment in Jen well, it led to him proposing. But what started as a liver tumor grew into full-on cancer, so with a diagnosis of 6 months to live, Sol and Jennifer try to make the best of it.",Jessica Rothe|Harry Shum Jr.|Michael Masini|Chrissie Fit|Greg Vrotsos,1427680|232499|1689357|1160310|1154271,2020
9738,Fantastic Four,2005-06-29,Action|Fantasy|Science Fiction,100000000,333535934,106,6.3455,5.804,9920,en,4 times the action. 4 times the adventure. 4 times the fantastic.,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.",Ioan Gruffudd|Jessica Alba|Chris Evans|Michael Chiklis|Julian McMahon,65524|56731|16828|19654|20402,2005
9741,Unbreakable,2000-11-22,Thriller|Drama|Mystery,75000000,248118121,106,4.6288,7.142,9857,en,Are you ready for the truth?,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead — and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",Bruce Willis|Samuel L. Jackson|Robin Wright|Spencer Treat Clark|Charlayne Woodard,62|2231|32|4012|33689,2000
