tmdb_id,title,release_date,release_year,release_month,genres,primary_genre,cast_names,cast_ids,budget,revenue,runtime,popularity,vote_average,vote_count,budget_log,revenue_log,budget_norm,revenue_norm
535581,The Dead Don't Die,2019-05-15,2019,5,Comedy|Horror,Comedy,Bill Murray|Adam Driver|Chloë Sevigny|Tilda Swinton|Caleb Landry Jones,1532|1023139|2838|3063|572541,11000000.0,15325468.0,104,2.498,5.43,2825,7.131691147630165,7.275712217972493,0.002083767451552407,0.0052400939301787556
11313,Hearts in Atlantis,2001-09-28,2001,9,Drama,Drama,Anthony Hopkins|Anton Yelchin|Hope Davis|Mika Boorem|David Morse,4173|21028|15250|21027|52,31000000.0,24185781.0,101,2.0656,6.8,607,7.7411723357211635,7.6333707586328625,0.043759116482600544,0.008270606599294602
11321,Seven Pounds,2008-12-18,2008,12,Drama,Drama,Will Smith|Rosario Dawson|Woody Harrelson|Michael Ealy|Barry Pepper,2888|5916|57755|8177|12834,55000000.0,168167691.0,123,3.8769,7.602,7181,7.905347867476817,8.390727736715883,0.09376953531985831,0.057517061253717944
11322,Public Enemies,2009-07-01,2009,7,Crime|History|Drama,Crime,Johnny Depp|Christian Bale|Marion Cotillard|Jason Clarke|Rory Cochrane,85|3894|8293|76512|51792,100000000.0,214104620.0,140,6.1859,6.686,4789,8.166601908901107,8.497227947407046,0.18753907063971662,0.0732289718052724
11323,The Informant!,2009-09-18,2009,9,Drama|Comedy|Crime,Drama,Matt Damon|Scott Bakula|Joel McHale|Melanie Lynskey|Tom Papa,1892|2154|74949|15091|170364,22000000.0,41771168.0,108,1.8794,6.2,970,7.509024586495036,7.787478526057442,0.025005209418628882,0.014285375839930357
11324,Shutter Island,2010-02-14,2010,2,Drama|Thriller|Mystery,Drama,Leonardo DiCaprio|Mark Ruffalo|Ben Kingsley|Max von Sydow|Michelle Williams,6193|103|2282|2201|1812,80000000.0,294804195.0,138,18.7364,8.198,25649,8.062463527885319,8.6289071989545,0.14586372160866848,0.100830827905589
207932,Inferno,2016-10-13,2016,10,Mystery|Thriller|Action,Mystery,Tom Hanks|Felicity Jones|Omar Sy|Irrfan Khan|Sidse Babett Knudsen,31|72855|78423|76793|32683,75000000.0,220021259.0,122,4.804,6.088,6591,7.99287922697778,8.460282608493355,0.13544488435090643,0.0752526530734268
11329,Runaway Jury,2003-01-16,2003,1,Drama|Thriller,Drama,John Cusack|Gene Hackman|Dustin Hoffman|Rachel Weisz|Bruce Davison,3036|193|4483|3293|52374,60000000.0,80154140.0,127,4.3785,6.934,1521,8.011362634511269,8.137137340535999,0.10418837257762034,0.027413589586365594
273477,Scouts Guide to the Zombie Apocalypse,2015-10-23,2015,10,Comedy|Horror,Comedy,Tye Sheridan|Sarah Dumont|Logan Miller|Joey Morgan|Patrick Schwarzenegger,1034681|1223438|116088|1326885|1053422,15000000.0,14900000.0,93,9.8451,6.57,2102,7.299372108134179,7.29646712436658,0.010418837257762034,0.0050945701586931
273481,Sicario,2015-09-17,2015,9,Action|Crime|Thriller,Action,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,5081|1121|16851|8536|19498,30000000.0,84997446.0,122,12.0308,7.4,9452,7.600402114697048,8.052686736962062,0.04167534903104814,0.029070156368307135
44113,Stone,2010-10-07,2010,10,Drama|Thriller|Action|Mystery,Drama,Robert De Niro|Edward Norton|Milla Jovovich|Frances Conroy|Enver Gjokaj,380|819|63|4432|1224022,22000000.0,9479718.0,105,1.8899,5.293,726,7.501796224792887,7.136168948296434,0.025005209418628882,0.003240658985218689
44115,127 Hours,2010-11-12,2010,11,Adventure|Drama|Thriller,Adventure,James Franco|Kate Mara|Amber Tamblyn|Clémence Poésy|Lizzy Caplan,17051|51072|20354|11291|51988,18000000.0,35700000.0,94,5.3649,7.088,8027,7.414646050593644,7.712041752190874,0.016670139612419255,0.012208840672343083
11351,Jeepers Creepers 2,2003-08-08,2003,8,Horror,Horror,Travis Schiffner|Ray Wise|Jonathan Breck|Al Santos|Nicki Aycox,1921278|6719|56357|96793|42374,17000000.0,63102666.0,104,5.4226,6.166,1787,7.463660303017197,8.033259090474248,0.014586372160866848,0.0215814358030738
11358,Walking Tall,2004-04-02,2004,4,Adventure|Drama|Action|Thriller,Adventure,Dwayne Johnson|Johnny Knoxville|Neal McDonough|Kristen Wilson|Ashley Scott,18918|9656|2203|31029|71128,46000000.0,57223888.0,86,3.3865,6.3,1636,7.884555076583133,7.979374608495983,0.07501562825588665,0.019570704217415424
437342,The First Omen,2024-04-03,2024,4,Horror,Horror,Nell Tiger Free|Ralph Ineson|Sonia Braga|Tawfeek Barhom|María Caballero,1472584|202032|27396|1260004|2264673,30000000.0,53992802.0,119,4.3639,6.82,1272,7.477115739144718,7.73233034819945,0.04167534903104814,0.01846556864737373
11362,The Count of Monte Cristo,2002-01-23,2002,1,Adventure|Drama|History|Action|Thriller,Adventure,Jim Caviezel|Guy Pearce|Richard Harris|James Frain|Dagmara Dominczyk,8767|529|194|22063|52776,35000000.0,75395048.0,131,6.294,7.674,1991,7.787066086467964,8.120340863108215,0.05209418628881017,0.025785826707166195
11371,The Score,2001-07-13,2001,7,Action|Crime|Thriller|Mystery|Drama,Action,Robert De Niro|Edward Norton|Marlon Brando|Angela Bassett|Gary Farmer,380|819|3084|9780|15439,68000000.0,113579918.0,124,3.3958,6.7,1830,8.082319556911232,8.305112194387451,0.1208585121900396,0.03884628318353916
11375,Hollywood Homicide,2003-06-09,2003,6,Action|Adventure|Comedy|Thriller,Action,Harrison Ford|Josh Hartnett|Lena Olin|Bruce Greenwood|Isaiah Washington,3|2299|5313|21089|21353,75000000.0,51142659.0,116,1.3462,5.2,689,8.108272645827007,7.941994686473309,0.13544488435090643,0.01749072786349941
11380,Bones,2001-10-24,2001,10,Horror|Thriller|Crime|Fantasy,Horror,Snoop Dogg|Pam Grier|Bianca Lawson|Khalil Kain|Michael T. Weiss,19767|2230|36068|79538|42722,10000000.0,7316658.0,97,1.7276,4.864,169,7.249810635581646,7.114123413555328,0.0,0.0025008227363121634
11397,Not Another Teen Movie,2001-12-07,2001,12,Comedy,Comedy,Chyler Leigh|Chris Evans|Jaime Pressly|Eric Christian Olsen|Mia Kirshner,69210|16828|56824|29020|18658,16000000.0,66468332.0,89,5.1444,5.8,2263,7.453930630453983,8.072425425957293,0.012502604709314441,0.022732602071467756
11398,The Art of War,2000-08-25,2000,8,Action|Thriller|Crime,Action,Wesley Snipes|Donald Sutherland|Anne Archer|Maury Chaykin|Liliana Komorowska,10814|55636|10427|7868|25689,40000000.0,30199105.0,117,1.9722,5.683,545,7.864056049818424,7.7419901279332555,0.0625130235465722,0.010327357254209206
339103,Gotti,2018-06-14,2018,6,Crime|Drama|History|Thriller,Crime,John Travolta|Spencer Rocco Lofranco|Kelly Preston|Pruitt Taylor Vince|William DeMeo,8891|1174927|11164|3201|204388,10000000.0,4343227.0,106,2.0724,5.313,637,7.0981825059531465,6.735995012713826,0.0,0.001483813482097126
11431,Fever Pitch,2005-04-06,2005,4,Romance|Comedy,Romance,Drew Barrymore|Jimmy Fallon|Jason Spevack|Jack Kehler|Maureen Keiller,69597|11669|74151|1240|69423,30000000.0,50500000.0,104,2.0505,6.2,751,7.68444821341844,7.910618338595901,0.04167534903104814,0.017270917768594032
11439,The Ghost Writer,2010-02-12,2010,2,Thriller|Mystery,Thriller,Ewan McGregor|Pierce Brosnan|Kim Cattrall|Olivia Williams|Tom Wilkinson,3061|517|2109|11616|207,45000000.0,60300000.0,128,2.5754,6.821,2423,7.812586055922437,7.939690849896116,0.07293186080433424,0.02062283368367912
11442,Halloween: Resurrection,2002-07-01,2002,7,Horror|Thriller,Horror,Jamie Lee Curtis|Brad Loree|Busta Rhymes|Bianca Kajlich|Katee Sackhoff,8944|69614|6485|69616|51798,13000000.0,37664958.0,89,2.264,4.613,1389,7.356941386787874,7.818935530208182,0.0062513023546572205,0.012880919651187343
44214,Black Swan,2010-12-03,2010,12,Drama|Thriller|Horror,Drama,Natalie Portman|Mila Kunis|Vincent Cassel|Barbara Hershey|Winona Ryder,524|18973|1925|10767|1920,13000000.0,329398046.0,108,8.4273,7.686,15448,7.273316883652675,8.677094558070376,0.0062513023546572205,0.11266304012303616
11451,Herbie Fully Loaded,2005-06-19,2005,6,Comedy|Family|Adventure|Fantasy|Romance,Comedy,Lindsay Lohan|Michael Keaton|Matt Dillon|Breckin Meyer|Justin Long,49265|2232|2876|33654|15033,50000000.0,144100000.0,101,3.4665,5.822,2402,7.90629696662729,8.365990943501657,0.08335069806209627,0.04928513508001895
11453,Deuce Bigalow: European Gigolo,2005-08-12,2005,8,Comedy,Comedy,Rob Schneider|Eddie Griffin|Jeroen Krabbé|Til Schweiger|Douglas Sills,60949|62842|1924|1844|166645,22000000.0,45109561.0,83,2.891,5.292,1001,7.549749643603364,7.861595560234904,0.025005209418628882,0.015427213863145526
11456,Domestic Disturbance,2001-10-28,2001,10,Thriller|Crime|Mystery,Thriller,John Travolta|Matt O'Leary|Vince Vaughn|Teri Polo|Ruben Santiago-Hudson,8891|71467|4937|10399|31839,75000000.0,54300000.0,89,1.627,5.8,463,8.124871908746476,7.984610473899715,0.13544488435090643,0.018570640266280088
11457,Life as a House,2001-10-25,2001,10,Drama,Drama,Kevin Kline|Hayden Christensen|Kristin Scott Thomas|Jena Malone|Mary Steenburgen,8945|17244|5470|20089|2453,18000000.0,23903791.0,125,1.8599,7.091,443,7.505083146114468,7.628277429790135,0.016670139612419255,0.00817415692899921
