tmdb_id,title,release_date,release_year,release_month,genres,primary_genre,cast_names,cast_ids,budget,revenue,runtime,popularity,vote_average,vote_count,budget_log,revenue_log,budget_norm,revenue_norm,budget_adj,revenue_adj,est_profit_adj,profit_margin,revenue_ratio,actor_prestige_score,prestige_tier,budget_tier,outcome_label,release_window,marketing_ratio,est_marketing_budget
80389,Get the Gringo,2012-03-15,2012,3,Action|Thriller|Crime|Drama,Action,Mel Gibson|Kevin Hernandez|Daniel Giménez Cacho|Peter Stormare|Jesús Ochoa,2461|999329|1603|53|69865,35000000.0,8826837.0,96,1.9058,6.601,1772,7.6811253648183415,7.082862423831999,0.05209418628881017,0.0030173526367945395,47987195.0,12102147.0,-71875444.25,-0.8558883766507175,0.252,7.923854263289079,Unknown,Low,Flop,Off-season,0.75,26250000.0
14869,G.I. Joe: The Rise of Cobra,2009-08-03,2009,8,Adventure|Action|Thriller|Science Fiction,Adventure,Adewale Akinnuoye-Agbaje|Christopher Eccleston|Lee Byung-hun|Joseph Gordon-Levitt|Sienna Miller,31164|2040|25002|24045|23459,175000000.0,302500000.0,118,4.5268,5.784,4873,8.4096399567419,8.647327287840682,0.34382162950614714,0.10346304129935342,256826573.0,443943077.0,84385874.80000001,0.23469387981571077,1.729,7.841544973309276,Unknown,Mega,Flop,Summer,0.4,70000000.0
14873,The Jungle Book 2,2003-02-07,2003,2,Family|Animation|Adventure,Family,Haley Joel Osment|John Goodman|Mae Whitman|Connor Funk|Bob Joles,9640|1230|52404|945115|179702,20000000.0,135700000.0,72,3.5723,5.904,1189,7.534241384022398,8.365791229947886,0.02083767451552407,0.046412064295660305,34216957.0,232162050.0,172282375.25,2.877142802950846,6.785,7.959704889941136,Rising,Low,Blockbuster,Off-season,0.75,15000000.0
309809,The Little Prince,2015-07-29,2015,7,Adventure|Animation|Fantasy|Family,Adventure,Riley Osborne|Mackenzie Foy|Jeff Bridges|Rachel McAdams|Marion Cotillard,1397911|851784|1229|53714|8293,64000000.0,101281211.0,106,3.9685,7.613,2949,7.929460835664224,8.12880974470016,0.11252344238382997,0.034639728925552594,85008203.0,134527089.0,-1486035.800000012,-0.010925679431195686,1.583,8.169397364015522,A-list,Mid,Flop,Summer,0.6,38400000.0
14926,Uptown Girls,2003-08-15,2003,8,Comedy|Drama,Comedy,Brittany Murphy|Dakota Fanning|Marley Shelton|Donald Faison|Jesse Spencer,328|501|6407|49002|41422,20000000.0,44617342.0,92,4.169,6.925,1103,7.534241384022398,7.882715079140013,0.02083767451552407,0.015258859097859071,34216957.0,76333483.0,16453808.25,0.27478118942187474,2.231,8.00567997050294,Rising,Low,Break-even,Summer,0.75,15000000.0
670292,The Creator,2023-09-27,2023,9,Science Fiction|Action|Adventure,Science Fiction,John David Washington|Madeleine Yuna Voyles|Gemma Chan|Allison Janney|Ken Watanabe,1117313|4068148|97576|19|3899,80000000.0,104272136.0,134,11.0356,7.006,3756,7.917246735800953,8.032325021258808,0.14586372160866848,0.035662721691708296,82650738.0,107727113.0,-24514067.800000012,-0.1853739330797023,1.303,8.190444099437045,A-list,Mid,Flop,Off-season,0.6,48000000.0
309886,Blood Father,2016-08-11,2016,8,Action|Thriller|Drama,Action,Mel Gibson|Erin Moriarty|William H. Macy|Michael Parks|Thomas Mann,2461|990393|3905|2536|1142720,13000000.0,6903033.0,88,2.405,6.165,1650,7.231761315892917,6.956857901881867,0.0062513023546572205,0.0023593496526002175,17051450.0,9054363.0,-20785674.5,-0.6965699858788716,0.531,7.773377302365669,Unknown,Low,Flop,Summer,0.75,9750000.0
14976,Rachel Getting Married,2008-09-03,2008,9,Drama|Romance,Drama,Anne Hathaway|Rosemarie DeWitt|Bill Irwin|Debra Winger|Tunde Adebimpe,1813|14892|58549|26513|94476,12000000.0,16937968.0,113,2.4881,6.295,629,7.244166417279535,7.393846486771864,0.004167534903104814,0.005791620911104745,17545527.0,24765465.0,-5939207.25,-0.19343008131278783,1.411,7.8816577619859025,Unknown,Low,Flop,Off-season,0.75,9000000.0
15028,Clockstoppers,2002-03-29,2002,3,Adventure|Family|Science Fiction|Thriller,Adventure,Jesse Bradford|Paula Garcés|French Stewart|Michael Biehn|Robin Thomas,17772|21124|67711|2712|41465,26000000.0,38793283.0,94,1.8273,5.3,346,7.657971391997668,7.8317545782230455,0.03334027922483851,0.013266843174135137,45495809.0,67881992.0,-11735673.75,-0.1474003745205253,1.492,7.96182114545253,Rising,Low,Flop,Off-season,0.75,19500000.0
15045,Fat Albert,2004-12-25,2004,12,Comedy|Family|Fantasy,Comedy,Kenan Thompson|Kyla Pratt|Dania Ramirez|Shedrack Anderson III|Jermaine Williams,77330|31031|37046|77799|31135,45000000.0,48600000.0,93,2.2451,5.1,269,7.8750097588028005,7.908433517078144,0.07293186080433424,0.016621056519751005,74991106.0,80990395.0,-38995374.60000001,-0.3249999956661528,1.08,8.346495234559407,A-list,Mid,Flop,Holiday,0.6,27000000.0
80585,Rock of Ages,2012-06-13,2012,6,Comedy|Drama|Romance|Music,Comedy,Julianne Hough|Diego Boneta|Alec Baldwin|Tom Cruise|Russell Brand,143240|935201|7447|500|59919,75000000.0,59400000.0,123,2.8019,6.194,1341,8.012118585669809,7.910843764230375,0.13544488435090643,0.020315004671069267,102829704.0,81441125.0,-83086401.4,-0.5050000034523099,0.792,8.122115016041866,Established,Mid,Flop,Summer,0.6,45000000.0
637649,Wrath of Man,2021-04-22,2021,4,Thriller|Crime|Drama,Thriller,Jason Statham|Holt McCallany|Rocci Williams|Josh Hartnett|Jeffrey Donovan,976|7497|1629429|2299|52886,40000000.0,103966489.0,119,15.8035,7.58,6017,7.667280190744023,8.082113578890256,0.0625130235465722,0.03555818056480033,46481506.0,120812975.0,39470339.5,0.4852355625974278,2.599,8.023083214491145,Rising,Low,Break-even,Off-season,0.75,30000000.0
211672,Minions,2015-06-17,2015,6,Family|Animation|Adventure|Comedy,Family,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,18277|65717|2232|19|4581,74000000.0,1159457503.0,91,5.1183,6.42,11047,7.992512578235539,9.187535694713645,0.13336111689935404,0.3965701324072388,98290734.0,1540053098.0,1382787923.6,8.792715417609964,15.668,8.09654407438622,Established,Mid,Blockbuster,Summer,0.6,44400000.0
